Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62197577,"Plot Twist (The Hollywood Series, #2)",Erin La Rosa,"Rosa, Erin La",,"=""1335458115""","=""9781335458117""",0,3.38,Canary Street Press,Paperback,336,2023,2023,,2023/11/02,to-read,to-read (#56),to-read,,,,0,0
55218452,"Just a Bit Obsessed (Straight Guys, #2)",Alessandra Hazard,"Hazard, Alessandra",,"=""""","=""""",0,3.82,,Kindle Edition,160,2014,2014,2023/10/31,2023/10/31,,,read,,,,1,0
124943569,"Почему я не худею: Дело не в диете, дело – в голове (Russian Edition)",Анастасия Томилова,"Томилова, Анастасия",,"=""5961486311""","=""9785961486315""",0,4.24,Альпина Паблишер,Kindle Edition,253,2023,,2023/10/19,2023/10/18,audio,audio (#2),read,,,,1,0
59833804,Пока мне не исполнилось 30. Что важно понять и сделать уже сейчас,Ellina Daily,"Daily, Ellina",,"=""5961475387""","=""9785961475388""",2,3.33,Альпина Паблишер,ebook,210,2022,,2023/10/25,2023/10/20,audio,audio (#1),read,"Мне очень понравилось вступление, это то что заставило дослушать-таки книгу до конца.<br/>И ладно, 2 звезды, потому что в части про мышление можно было что-то вычленить разумное.<br/>Но дальше, это какая-то банальщина. Кажется люди подходящие к третьему десятку это все знают уже. А подходящие к четвертому так тем более.<br/><br/>Часть про карьеру и построение корпоративной культуры в компании подойдет hr и руководителям, но обычным сотрудникам вообще не понятно зачем это. <br/><br/>От авторки явно просачивается энергия pick me girl, вся она такая просвещенная и осознанная. Ну и то что она же сама читает свою книгу ей не помогает <br/><br/>Короче, жаль что не выключила после первой главы",,,1,0
40605478,Отторжение,Катя Райт,"Райт, Катя",Змеева Юлия,"=""""","=""""",4,3.25,Ridero,Kindle Edition,195,2018,,2023/10/30,2023/10/17,,,read,"Такой стандартный young adult. Семья Риты с братом-близнецом Питером переезжают в новый город, где Рита надеется начать все с нуля, после несчастного случая. Питер же, начинать ничего не хочет и не выходит из дома.<br/>В школе стандартное (для книг и фильмов) разделение на крутых/изгоев. И у одного из изгоев, который раньше был крутым история зеркальная истории Питера. В итоге они этим друг другу и помогают.<br/> <br/>Читается супер быстро потому что книга маленькая. <br/><br/>Если знать стиль Кати Райт, то знаешь чего ожидать, но если нет, то кажется что это какой-то пересказ «галопом по европам»",,,1,0
75348711,Невидимые голоса,Корнелия Функе,"Функе, Корнелия","Ольга Птицева, Марина Козинаки, Саша Карин, Евгения Некрасова, Анна Береговая, Екатерина Бордон, Алиса Осипян, Александра Воробьева, Людмила Жуковская, Александра Яковлева, Яна Москаленко, Алена Петровски, Ирина Родионова, Лия Раздольная, Александра Старк, Дарина Стрельченко, Дарья Трайден, Диана Шаматава, Стана Корунная","=""5604836184""","=""9785604836187""",5,4.13,Popcorn Books,Paperback,192,2022,,2023/10/16,2023/10/11,,,read,"Великолепный сборник. Специально растягивала его, читала по несколько рассказов в день. <br/><br/>Большинство заставили меня плакать. <br/>Открыла для себя новых авторов. И, конечно, снова вспомнила, какая у нас всех разная жизнь и что у всех свои трудности на жизненном пути.<br/><br/>Рекомендую однозначно ",,,1,0
56813320,Хватит врать,Philippe Besson,"Besson, Philippe",,"=""5604542628""","=""9785604542620""",0,4.26,Popcorn Books,Paperback,176,2021,2017,,2023/10/12,to-read,to-read (#55),to-read,,,,0,0
61100797,"God of Wrath (Legacy of Gods, #3)",Rina Kent,"Kent, Rina",,"=""""","=""""",3,4.18,"Blackthorn Books, LLC",Kindle Edition,492,2022,2022,2023/10/09,2023/10/01,,,read,"Сразу хочу сказать: я бы не стала читать эту книгу и бросила бы её недосчитанной, если бы мы её не читали в книжном клубе.<br/><br/>И я не могу сказать, что она плохая, она просто под свою аудиторию, в которую я не вхожу.<br/><br/>Так что я попытаюсь написать о книге, как будто бы в ней нет насилия, убийств и согласие без согласия.<br/>И не буду писать, что сталкерство, желание быть хозяином и тд не вписываются в мою картину здоровых отношений.<br/>Ну а без этого всего вообще конечно в книге не то чтобы много остается ",,,1,0
63915436,Закрытые. Жизнь гомосексуалов в СССР,Rustam Alexander,"Alexander, Rustam",Рустам Александер,"=""5604829471""","=""9785604829479""",0,4.22,individuum,Paperback,336,2022,2023,,2023/05/06,to-read,to-read (#21),to-read,,,,0,0
75547977,Crimson Rivers,bizarrestars,"bizarrestars, bizarrestars",Zeppazariel,"=""""","=""""",0,4.79,Archive of our Own (AO3),ebook,2583,2022,2022,,2023/03/22,currently-reading,currently-reading (#3),currently-reading,,,,1,0
